KANJI	VI	EN	ELEMENT	STORY	LESSON	JLPT
以	dĩ	by means of	plow; drop; person;	A man earns his living by means of the plow.	28.00	4.00	deck#2	due@2025-08-20 08:53:26
似	tự	similar	becoming; person; by means of;	Mr. T finds that living by means of dragging a plow is similar to slavery.	28.00	3.00	deck#3	due@2025-08-25 05:52:00
瓦	ngói	tile	ceiling; plough; drop; fishhook;	"Horror scene: Hanging from the ceiling, a plough and fishhook dripping with blood down onto the tiled bathroom floor."	28.00	5.00	deck#3	due@2025-08-25 05:52:03
瓶	bình	flower pot	puzzle; tile	A flower pot that has been dropped on the floor is like a puzzle of ceramic tiles to glue together.	28.00	2.00	deck#3	due@2025-08-25 05:52:05
営	doanh	occupation	schoolhouse; spine	The schoolhouse is the backbone of a foundation that will allow you to find a good occupation.	28.00	2.00	deck#3	due@2025-08-25 05:51:26
膳	thiện	dining tray	meat; virtuous;	The virtuous vegan will not touch this dining tray because it has had a piece of meat on it.	28.00	5.00	deck#3	due@2025-08-25 05:51:51
年	niên	year	sign of the horse; sunglasses	A horse wears a pair of sunglasses with one lens popped out after a particularly raucous celebration to ring in the New Year.	28.00	5.00	deck#5	due@2025-11-17 08:53:22
夜	dạ	night	evening plus an extra stroke representing the tuxedo tails to match the top hat which my special person is wearing out on the town	"ctually, the lower-right primitive isn't quite "	28.00	4.00	deck#3	due@2025-08-25 05:51:16
液	dịch	fluid	water; night	A wet dream ... water fluid that comes out at night ...	28.00	2.00	deck#5	due@2025-11-17 08:52:17
蔽	tế	cover over	flowers; shredder; taskmaster	You cover over the shredder with flowers when the FBI comes a-knockin'.	28.00	5.00	deck#5	due@2025-11-17 08:52:36
換	hoán	interchange	finger; bound up; four; St. Bernard	"After months of practice, you finally managed to tach a nice trick to your sled-pulling four bound up St. Bernard dogs: one snap of your fingers and they interchange their positions."	28.00	2.00	deck#3	due@2025-08-26 08:52:56
#--decks immediate,daily,weekly,monthly,quarterly,yearly
#--intervals 0,1440,10080,43200,129600,518400
#--showcolumns KANJI
#--showcolumns KANJI,VI,EN,ELEMENT,STORY
