KANJI	VI	EN	ELEMENT	STORY	LESSON	JLPT
御	ngự	honorable	line; wholesale; stamp	An honorable man will not try to cut in front of the line at the wholesale stamp store.	37.00	3.00	deck#2	due@2025-08-20 09:47:17
服	phục	clothing	flesh; stamp; crotch;	"It's customary to cover the flesh with clothing, but some designs are so outrageous they're not bigger than a stamp that just covers your crotch."	37.00	4.00	deck#5	due@2025-11-17 09:48:02
命	mệnh	fate	fit; stamp;	"When you're born, your fate is measured, fitted, and stamped onto your soul. Good luck defying it."	37.00	3.00	deck#5	due@2025-11-17 09:48:17
令	lệnh	orders	chop-seal;		37.00	2.00	deck#5	due@2025-11-17 09:48:45
零	linh	zero	rain; orders;	The amount of people that can order the rain to rain.	37.00	2.00	deck#5	due@2025-11-17 09:47:02
齢	linh	age	teeth; orders;	You know you are fast approaching a ripe old AGE when you get ORDERS from the dentist to get new TEETH.	37.00	2.00	deck#5	due@2025-11-17 09:49:51
冷	lãnh	cool	ice; orders;	"To keep your water cool, just order some ice."	37.00	3.00	deck#5	due@2025-11-17 09:49:05
領	lĩnh	jurisdiction	orders; head;	Orders are given by the head person in any jurisdiction.	37.00	2.00	deck#4	due@2025-09-18 09:49:19
勇	dũng	courage	run through; power;	To have courage is to run through (甬) with power	37.00	2.00	deck#5	due@2025-11-17 09:49:27
通	thông	traffic	pogo stick; road;	"I bounce down the road on my pogo stick, easily getting through the dense traffic"	37.00	4.00	deck#5	due@2025-11-17 09:50:03
踊	dũng	jump	wooden leg; pogo stick;	The winner of the long jump competition was disqualified when they found he used a pogo stick tied to his leg to jump further.	37.00	2.00	deck#4	due@2025-09-18 09:48:41
疑	nghi	doubt	spoon; sitting on the ground; dart; drop; heavens; chop-seal; hanko; zoo; critters	"very doubtful story: At the entrance to my local zoo they issue you with a special spoon (to feed the animals) and a dart gun (to defend yourself in case of animal attack). You must then hanko (seal) a document to say you’ve received both these items, only after which will they let you enter the zoo."	37.00	3.00	deck#5	due@2025-11-17 09:48:57
犯	phạm	crime	dog; fingerprint;	Crimes can often be solved using the tools of dogs and fingerprints.	37.00	3.00	deck#5	due@2025-11-17 09:49:10
氾	phiếm	widespread	water; fingerprint;	It's a widespread belief that they cannot find fingerprints on a body that has been deposited in the water.	37.00	5.00	deck#5	due@2025-11-17 09:47:32
危	nguy	dangerous	bound up; cliff; fingerprint	"While rock climbing you are bound to the cliff by just your fingerprints, which is why it's so dangerous."	37.00	3.00	deck#5	due@2025-11-17 09:49:56
宛	uyển	address	house; mailbox;	Your address should be displayed on your house and mailbox.	37.00	5.00	deck#5	due@2025-11-17 09:47:23
腕	oản	arm	flesh; address;	"Like in Memento, I tattoo my address on my forearm flesh so I don't forget it."	37.00	2.00	deck#5	due@2025-11-17 09:47:40
怨	oán	grudge	mailbox; heart;	I couldn't drop my grudge against him. So I put a severed pig's heart in his mailbox. He got the message.	37.00	5.00	deck#5	due@2025-11-17 09:47:53
卵	noãn	egg	receipt; stamp; drops	The Easter Bunny dropped an egg on my desk and got yolk all over my receipts and stamps.	37.00	2.00	deck#5	due@2025-11-17 09:47:28
留	lưu	detain	receipt; dagger; rice field;	"Got a receipt for that dagger, son? If not, we're going to detain you and send you to work in the rice fields."	37.00	3.00	deck#5	due@2025-11-17 09:48:11
貿	mậu	trade	receipt; dagger; shellfish;	"There's a buyback program where you can trade in your dagger for money. But it's quite ineffective, since only registered dagger-owners with the original receipts can participate, and not criminals with illegally-purchased daggers."	37.00	2.00	deck#4	due@2025-09-18 09:48:27
印	ấn	stamp	staples		37.00	2.00	deck#5	due@2025-11-17 09:48:32
臼	cữu	mortar	back to back staples		37.00	5.00	deck#5	due@2025-11-17 09:47:45
毀	hủy	break	mortar; soil; missile;	"Wow, that baker must really be mad! He's trying to BREAK his MORTAR by throwing it to the SOIL. Whoa! Now he's aiming a MISSILE at it!"	37.00	5.00	deck#4	due@2025-09-18 09:49:38
#--decks immediate,daily,weekly,monthly,quarterly,yearly
#--intervals 0,1440,10080,43200,129600,518400
#--showcolumns KANJI
#--showcolumns KANJI,VI,EN,ELEMENT,STORY
