JP	HIRAGANA	VN	MEANING
帰省	きせい	quy tỉnh	về quê	deck#3	due@2025-03-13 07:06:46
帰宅	きたく	quy trạch	về nhà	deck#3	due@2025-03-11 06:42:35
参加	さんか	tham gia	tham gia	deck#3	due@2025-03-11 06:42:36
出席	しゅっせき	xuất tịch	tham gia; có mặt	deck#3	due@2025-03-11 06:42:39
欠席	けっせき	khuyết tịch	vắng mặt	deck#3	due@2025-03-11 06:42:40
遅刻	ちこく	trì khắc	đến muộn	deck#3	due@2025-03-11 06:42:41
化粧	けしょう	hóa trang	trang điểm	deck#3	due@2025-03-11 06:42:42
計算	けいさん	kế toán	tính toán; thanh toán	deck#3	due@2025-03-11 06:42:44
計画	けいかく	kế hoạ	kế hoạch	deck#3	due@2025-03-11 06:42:46
成功	せいこう	thành công	thành công	deck#3	due@2025-03-11 06:42:47
失敗	しっぱい	thất bại	thất bại	deck#3	due@2025-03-11 06:42:49
準備	じゅんび	chuẩn bị	chuẩn bị	deck#3	due@2025-03-11 06:42:50
整理	せいり	chỉnh lý	sắp xếp; vứt bỏ	deck#3	due@2025-03-11 06:42:52
注文	ちゅうもん	chú văn	đặt hàng; gọi đồ; yêu cầu	deck#3	due@2025-03-11 06:42:53
貯金	ちょきん	trữ kim	tiết kiệm tiền; gửi tiền	deck#3	due@2025-03-11 06:42:57
徹夜	てつや	triệt dạ	thức xuyên đêm	deck#3	due@2025-03-11 06:42:58
引っ越し	ひっこし	dẫn việt	chuyển nhà	deck#3	due@2025-03-11 06:43:00
身長	しんちょう	thân trường	chiều cao cơ thể	deck#3	due@2025-03-11 06:43:01
#--decks immediate,daily,weekly,monthly,quarterly,yearly
#--intervals 0,1440,10080,43200,129600,518400
#--showcolumns JP
#--showcolumns JP,HIRAGANA,VN,MEANING
