JP	HIRAGANA	MEANING	VN
男性	だんせい	man	nam giới		
女性	じょせい	woman	nữ giới	deck#2	due@2025-08-24 06:58:21
高齢	こうれい	old age; advance age	cao linh		
年上	としうえ	elder	niên thượng		
目上	めうえ	superior	mục thượng		
先輩	せんぱい	superior	tiền bối		
後輩	こうはい	junior	hậu bối		
上司	じょうし	boss	thượng ty		
相手	あいて	other person; opponent	tương thủ		
知り合い	しりあい	acquaintance	tri hợp		
友人	ゆうじん	friend	hữu nhân		
仲	なか	relations	trọng		
生年月日	せいねんがっぴ	date of birth	sinh niên nguyệt nhật		
誕生	たんじょう	birth	đản sinh		
年	ねん	year	niên		
出身	しゅっしん	origin; homeland	xuất thân		
故郷	こきょう	hometown	cố hương		
成長	せいちょう	growth	thành trường		
成人	せいじん	adult	thành nhân		
合格	ごうかく	passing; acceptance	hợp cách		
進学	しんがく	going to a higher school	tiến học		
退学	たいがく	expulsion; dropping out	thoái học		
就職	しゅうしょく	getting employed; finding employment	tựu chức		
退職	たいしょく	resignation; retirement	thoái chức		
失業	しつぎょう	unemployment	thất nghiệp		
残業	ざんぎょう	overtime work	tàn nghiệp		
生活	せいかつ	life	sinh hoạt		
通勤	つうきん	commuting (to work)	thông cần		
学歴	がくれき	educational background	học lịch		
給料	きゅうりょう	salary; pay	cấp liệu		
面接	めんせつ	interview	diện tiếp		
休憩	きゅうけい	break	hưu khế		due@2025-08-23 06:58:13
観光	かんこう	tourism; sightseeing	quan quang		
帰国	きこく	return to one's country	quy quốc		
帰省	きせい	returning to one's hometown	quy tỉnh		
帰宅	きたく	going home	quy trạch		
参加	さんか	participation	tham gia		
出席	しゅっせき	attendance	xuất tịch		
欠席	けっせき	absence	khuyết tịch		
遅刻	ちこく	arriving late	trì khắc		
化粧	けしょう	makeup	hóa trang		
計算	けいさん	calculation	kế toán		
計画	けいかく	plan	kế họa		
成功	せいこう	success	thành công		
失敗	しっぱい	failure	thất bại		
準備	じゅんび	preparation	chuẩn bị		
整理	せいり	organizing; arrangement; disposal	chỉnh lý		
注文	ちゅうもん	order; request	chú văn		
貯金	ちょきん	savings; depositing	trữ kim		
徹夜	てつや	staying up all night	triệt dạ		
引っ越し	ひっこし	move	dẫn việt		
身長	しんちょう	body height	thân trường		
体重	たいじゅう	body weight	thể trọng		
けが	けが	injury		deck#2	due@2025-08-24 06:58:23
会	かい	party	hội		
趣味	しゅみ	hobby; interest; taste	thú vị		
興味	きょうみ	interest	hưng vị		
思い出	おもいで	memory	tư xuất		
冗談	じょうだん	joke	nhũng đàm	deck#2	due@2025-08-24 06:58:05
目的	もくてき	purpose	mục đích	deck#2	due@2025-08-24 06:58:07
約束	やくそく	promise; appointment	ước thúc		
おしゃべり	おしゃべり	chatting; talkativeness			
遠慮	えんりょ	reserve; refraining	viễn lự		
我慢	がまん	endurance; patience	ngã mạn		
迷惑	めいわく	nuisance	mê hoặc		
希望	きぼう	hope; wish	hy vọng		
夢	ゆめ	dream	mộng		
賛成	さんせい	agreement; support	tán thành		
反対	はんたい	opposite; opposition	phản đối		
想像	そうぞう	imagination	tưởng tượng		
努力	どりょく	effort	nỗ lực		
太陽	たいよう	sun	thái dương		
地球	ちきゅう	earth	địa cầu		
温度	おんど	temperature	ôn độ		
湿度	しつど	humidity	thấp độ		
湿気	しっけ	being humid; moisture	thấp khí		
梅雨	つゆ	rainy season	mai vũ		
かび	かび	mold		deck#2	due@2025-08-24 06:58:08
暖房	だんぼう	heater	noãn phòng		
皮	かわ	skin; hide	bì		
缶	かん	can	phữu		
画面	がめん	screen	họa diện		
番組	ばんぐみ	(radio/TV) program	phiên tổ		
記事	きじ	article (newspaper/magazine)	kí sự		
近所	きんじょ	neighborhood	cận sở		
警察	けいさつ	police	cảnh sát		
犯人	はんにん	criminal	phạm nhân		
小銭	こぜに	small change	tiểu tiền		
ごちそう	ごちそう	feast; treating to (a meal)		deck#2	due@2025-08-24 06:58:15
作者	さくしゃ	writer; artist	tác giả		
作品	さくひん	work (of art/literature)	tác phẩm		
制服	せいふく	uniform	chế phục		
洗剤	せんざい	detergent	tiễn tễ		
底	そこ	bottom	đế		
地下	ちか	underground; basement	địa hạ		
寺	てら	temple	tự		
道路	どうろ	road	đạo lộ		
坂	さか	hill; slope	dốc		
煙	けむり	smoke	yên	deck#2	due@2025-08-24 06:58:20
灰	はい	ash	hôi		
判	はん	seal	phán		
名刺	めいし	business card	danh thích	deck#2	due@2025-08-24 06:58:09
免許	めんきょ	licence	miễn hứa		
多く	おおく	many	đa		
前半	ぜんはん	first half	tiền bán		
後半	こうはん	second half	hậu bán		
最高	さいこう	highest; best; really	tối cao		
最低	さいてい	lowest; worst; disgusting	tối đế		
最初	さいしょ	first	tối sơ		
最後	さいご	last; end (of the line)	tối hậu		
自動	じどう	automation	tự động		
種類	しゅるい	type; kind	chủng loại		
性格	せいかく	personality; character	tính cách		
性質	せいしつ	property; disposition	tính chất		
順番	じゅんばん	order; sequence	thuận phiên		
番	ばん	(one's) turn; watching over	phiên		
方法	ほうほう	method; way	phương pháp		
製品	せいひん	product	chế phẩm		
値上がり	ねあがり	price rise	giá thượng		
生	なま	raw; draft (beer)	sinh		
#--decks immediate,daily,weekly,monthly,quarterly,yearly
#--intervals 0,1440,10080,43200,129600,518400
#--showcolumns JP
#--showcolumns JP,HIRAGANA,VN,MEANING
